type,name,lat,lon,radius,priority
SAMR,SAM Radar 1,33.2857,-111.843,28,1
SAMR,SAM Radar 2,35.2864,-107.11,28,1
SAMR,SAM Radar 3,34.8499,-106.931,28,1
SAMR,SAM Radar 4,34.6898,-106.256,28,1
SAMR,SAM Radar 5,35.129,-106.137,28,1
SAMR,SAM Radar 6,35.4871,-105.252,28,1
SAMR,SAM Radar 7,35.4324,-102.094,28,1
SAMR,SAM Radar 8,33.4288,-102.037,28,1
SAMR,SAM Radar 9,37.5433,-97.5429,28,1
SAMR,SAM Radar 10,38.9316,-94.3801,28,1
SAMR,SAM Radar 11,38.3162,-90.5732,28,1
SAMR,SAM Radar 12,35.1327,-97.722,28,1
SAMR,SAM Radar 13,32.3983,-99.8103,28,1
SAMR,SAM Radar 14,33.0392,-97.0209,28,1
SAMR,SAM Radar 15,32.5388,-97.4106,28,1
SAMR,SAM Radar 16,32.6038,-96.5893,28,1
SAMR,SAM Radar 17,32.6573,-93.8792,28,1
SAMR,SAM Radar 18,30.2001,-94.3142,28,1
SAMR,SAM Radar 19,28.2394,-97.978,28,1
SAMR,SAM Radar 20,29.6419,-96.5468,28,1
